customer_id,order_id
9ef432eb6251297304e76186b10a928d,e481f51cbdc54678b7cc49136f2d6af7
b0830fb4747a6c6d20dea0b8c802d7ef,53cdb2fc8bc7dce0b6741e2150273451
41ce2a54c0b03bf3443c3d931a367089,47770eb9100c2d0c44946d9cf07ec65d
f88197465ea7920adcdbec7375364d82,949d5b44dbf5de918fe9c16f97b45f8a
8ab97904e6daea8866dbdbc4fb7aad2c,ad21c59c0840e6cb83a9ceb5573f8159
503740e9ca751ccdda7ba28e9ab8f608,a4591c265e18cb1dcee52889e2d8acc3
ed0271e0b7da060a393796590e7b737a,136cce7faa42fdb2cefd53fdc79a6098
9bdf08b4b3b52b5526ff42d37d47f222,6514b8ad8028c9f2cc2374ded245783f
f54a9f0e6b351c431402b8461ea51999,76c6e866289321a7c93b82b54852dc33
31ad1d1b63eb9962463f764d4e6e0c9d,e69bfb5eb88e0ed6a785585b27e16dbf
494dded5b201313c64ed7f100595b95c,e6ce16cb79ec1d90b1da9085a6118aeb
7711cf624183d843aafe81855097bc37,34513ce0c4fab462a55830c0989c7edb
d3e3b74c766bc6214e0c830b17ee2341,82566a660a982b15fb86e904c8d32918
19402a48fe860416adf93348aba37740,5ff96c15d0b717ac6ad1f3d77225a350
3df704f53d3f1d4818840b34ec672a9f,432aaf21d85167c2c86ec9448c4e42cc
3b6828a50ffe546942b7a473d70ac0fc,dcb36b511fcac050b97cd5c05de84dc3
738b086814c6fcc74b8cc583f8516ee3,403b97836b0c04a622354cf531062e5f
3187789bec990987628d7a9beb4dd6ac,116f0b09343b49556bbad5f35bee0cdf
059f7fc5719c7da6cbafe370971a8d70,85ce859fd6dc634de8d2f1e290444043
7f8c8b9c2ae27bf3300f670c3d478be8,83018ec114eee8641c97e08f7b4e926f
d2b091571da224a1b36412c18bc3bbfe,203096f03d82e0dffbc41ebc2e2bcfb7
4fa1cd166fa598be6de80fa84eaade43,f848643eec1d69395095eb3840d2051e
72ae281627a6102d9b3718528b420f8a,2807d0e504d6d4894d41672727bc139f
a166da34890074091a942054b36e4265,95266dbfb7e20354baba07964dac78d5
62b423aab58096ca514ba6aa06be2f98,f3e7c359154d965827355f39d6b1fdac
3a874b4d4c4b6543206ff5d89287f0c3,fbf9ac61453ac646ce8ad9783d7d0af6
7e20bf5ca92da68200643bda76c504c6,acce194856392f074dbf9dada14d8d82
8b212b9525f9e74e85e37ed6df37693e,dd78f560c270f1909639c11b925620ea
cce89a605105b148387c52e286ac8335,91b2a010e1e45e6ba3d133fa997597be
761df82feda9778854c6dafdaeb567e4,ecab90c9933c58908d3d6add7c6f5ae3
456dc10730fbdba34615447ea195d643,f70a0aff17df5a6cdd9a7196128bd354
